"indirect codes","indirect codes vn","description","説明","codes"
"11_全般","11_Chung","Thời gian dành cho việc lập kế hoạch toàn công ty, lập kế hoạch chiến lược, v.v.","会社全体の企画や戦略立案などに要した時間","11"
"12_経理","12_Kế toán","Thời gian dành cho kế toán","経理業務に要した時間","12"
"13_人事","13_Nhân sự","Thời gian dành cho nguồn nhân lực","人事業務に要した時間","13"
"14_総務","14_Việc tổng hợp","Thời gian dành cho công việc chung","総務業務に要した時間","14"
"15_朝会","15_Họp buổi sáng","Thời gian tham dự các cuộc họp buổi sáng","朝会に参加した時間","15"
"16_共通営業","16_Bán hàng thông thường","Vui lòng viết tóm tắt về hoạt động bán hàng của bạn vào cột nhận xét.","営業の概要を備考欄に書いてください。","16"
"17_トレーニング","17_Đào tạo","","スキルアップのための時間","17"
"21_有給","21_Đã thanh toán","Thời gian cần thiết để nghỉ phép có lương","有休休暇取得のための時間","21"
"22_遅刻","22_Muộn","Thời gian cần được ghi lại nếu bạn bỏ lỡ thời điểm bắt đầu ngày làm việc","始業時間に間に合わなかった場合に記録する時間","22"
"23_早退","23_Về sớm","Thời gian cần ghi lại khi rời văn phòng trước giờ làm việc","就業時間までに退社する場合に記録する時間","23"
"24_代休","24_Ngày nghỉ bù","Thời gian được ghi nhận để nghỉ bù","代休休暇取得のための時間","24"
"25_欠勤","25_Vắng mặt","Thời gian được ghi nhận khi bạn vắng mặt tại nơi làm việc","欠勤した場合の時間","25"
"81_システム運用","81_Vận hành hệ thống","Thời gian cần thiết để vận hành các hệ thống dùng cho công việc gián tiếp","間接業務に利用しているシステムを運用するために要した時間","81"
"99_その他","99_Khác","Thời gian không thuộc về bất kỳ loại nào trong số này. Trong trường hợp này, vui lòng mô tả ngắn gọn chi tiết về nó trong cột ""Ghi chú"" của báo cáo thời gian.","いずれにも属さない時間。この場合、タイムレポートの「備考」欄に簡単にその内容を記述してください。","99"

